id,crop_name,month,yield_amount,target,year
1,Tomato (Greenhouse),January,1115.59,1032.9,2022
2,Cucumber (Greenhouse),January,368.61,844.01,2022
3,Tomato (Greenhouse),February,319.31,647.64,2022
4,Cucumber (Greenhouse),February,171.25,1236.58,2022
5,Tomato (Greenhouse),March,211.02,1159.38,2022
6,Cucumber (Greenhouse),March,755.4,1319.73,2022
7,Strawberries,May,1051.63,853.76,2022
8,Barley,June,673.62,926.38,2022
9,Rapeseed,June,229.94,1424.42,2022
10,Strawberries,June,844.07,633.69,2022
11,Wheat,July,1076.84,895.28,2022
12,Barley,July,1087.36,1176.76,2022
13,Rye,July,1132.05,911.1,2022
14,Rapeseed,July,259.83,791.55,2022
15,Oats,July,988.62,891.32,2023
16,Wheat,August,1123.48,1093.02,2023
17,Corn,August,1115.14,607.79,2023
18,Rye,August,133.65,1246.1,2023
19,Potato,August,890.36,1171.88,2023
20,Oats,August,936.66,1428.49,2023
21,Carrots,August,1190.49,1210.68,2023
22,Corn,September,1052.66,1398.47,2023
23,Potato,September,712.64,1380.8,2023
24,Sugar Beet,September,507.07,1442.67,2023
25,Apples,September,1179.5,929.13,2023
26,Carrots,September,1143.23,1131.14,2023
27,Corn,October,522.54,770.83,2023
28,Sugar Beet,October,811.69,1086.15,2023
29,Pumpkin,October,232.14,1036.77,2024
30,Apples,October,852.08,803.27,2024
31,Tomato (Greenhouse),November,528.94,770.6,2024
32,Cucumber (Greenhouse),November,478.77,1172.96,2024
33,Tomato (Greenhouse),December,197.37,1391.38,2024
34,Cucumber (Greenhouse),December,460.9,1196.7,2024
35,Tomato (Greenhouse),January,841.48,1059.21,2024
36,Cucumber (Greenhouse),January,104.55,808.17,2024
37,Tomato (Greenhouse),February,404.94,1475.83,2024
38,Cucumber (Greenhouse),February,940.79,1329.5,2024
39,Tomato (Greenhouse),March,350.48,1014.31,2024
40,Cucumber (Greenhouse),March,833.46,1475.14,2024
41,Strawberries,May,706.68,665.17,2024
42,Barley,June,966.53,919.62,2024
43,Rapeseed,June,429.42,872.89,2022
44,Strawberries,June,578.93,1227.35,2022
45,Wheat,July,306.54,1010.74,2022
46,Barley,July,805.01,890.47,2022
47,Rye,July,881.13,1198.39,2022
48,Rapeseed,July,1070.33,1031.13,2022
49,Oats,July,977.43,1363.02,2022
50,Wheat,August,222.98,750.15,2022
51,Corn,August,162.44,718.53,2022
52,Rye,August,244.94,1381.74,2022
53,Potato,August,431.65,1028.12,2022
54,Oats,August,957.36,819.84,2022
55,Carrots,August,981.65,1476.8,2022
56,Corn,September,760.46,923.64,2022
57,Potato,September,210.11,960.11,2023
58,Sugar Beet,September,587.04,776.2,2023
59,Apples,September,320.56,1398.06,2023
60,Carrots,September,1196.11,1201.64,2023
61,Corn,October,1189.65,637.23,2023
62,Sugar Beet,October,581.86,1273.61,2023
63,Pumpkin,October,1194.57,1353.42,2023
64,Apples,October,898.36,1309.8,2023
65,Tomato (Greenhouse),November,1183.29,1206.32,2023
66,Cucumber (Greenhouse),November,658.83,1042.08,2023
67,Tomato (Greenhouse),December,310.25,826.32,2023
68,Cucumber (Greenhouse),December,335.03,1433.4,2023
69,Tomato (Greenhouse),January,135.15,941.86,2023
70,Cucumber (Greenhouse),January,436.74,1464.78,2023
71,Tomato (Greenhouse),February,246.62,897.34,2024
72,Cucumber (Greenhouse),February,610.77,1444.38,2024
73,Tomato (Greenhouse),March,732.13,1348.3,2024
74,Cucumber (Greenhouse),March,1006.31,1003.02,2024
75,Strawberries,May,1054.89,1205.56,2024
76,Barley,June,228.88,1187.23,2024
77,Rapeseed,June,711.57,1070.79,2024
78,Strawberries,June,689.37,1181.26,2024
79,Wheat,July,742.3,922.8,2024
80,Barley,July,399.58,1059.13,2024
81,Rye,July,1135.1,780.28,2024
82,Rapeseed,July,330.7,691.29,2024
83,Oats,July,586.53,862.07,2024
84,Sugar Beet,October,130.95,1272.54,2024
85,Oats,August,1135.63,838.2,2022
86,Sugar Beet,September,964.84,1063.27,2022
87,Cucumber (Greenhouse),November,948.63,1297.29,2022
88,Pumpkin,October,226.49,623.43,2022
89,Rye,August,856.63,692.32,2022
90,Barley,July,1049.48,893.36,2022
91,Apples,September,258.75,1247.59,2022
92,Barley,June,555.56,1438.61,2022
93,Strawberries,May,1002.72,652.16,2022
94,Rapeseed,July,1004.4,1257.69,2022
95,Sugar Beet,September,897.57,728.68,2022
96,Wheat,August,1074.3,807.84,2022
97,Wheat,July,1198.28,601.64,2022
98,Carrots,September,340.35,1476.7,2022
99,Carrots,August,516.84,1009.13,2023
100,Apples,October,577.94,1328.27,2023
101,Sugar Beet,October,387.97,1211.24,2023
102,Cucumber (Greenhouse),November,115.57,746.19,2023
103,Cucumber (Greenhouse),January,1108.61,1355.69,2023
104,Barley,July,942.68,932.63,2023
105,Wheat,July,459.43,869.43,2023
106,Potato,September,229.96,1009.8,2023
107,Cucumber (Greenhouse),March,164.84,1254.06,2023
108,Rye,August,288.81,1426.99,2023
109,Apples,October,766.33,1040.36,2023
110,Barley,July,654.26,1264.09,2023
111,Rapeseed,July,719.4,1300.76,2023
112,Carrots,September,1086.63,706.24,2023
113,Pumpkin,October,411.1,941.85,2024
114,Wheat,July,1115.32,1231.04,2024
115,Rye,August,806.74,1403.5,2024
116,Pumpkin,October,670.77,1418.85,2024
117,Pumpkin,October,1153.83,831.97,2024
118,Pumpkin,October,826.88,713.58,2024
119,Sugar Beet,October,871.47,1293.84,2024
120,Potato,August,748.24,985.35,2024
121,Corn,August,1075.07,898.97,2024
122,Corn,August,569.66,1342.4,2024
123,Strawberries,June,822.83,1424.56,2024
124,Cucumber (Greenhouse),January,140.75,1074.8,2024
125,Apples,October,1018.47,1098.83,2024
126,Rye,July,1170.64,1161.38,2024
127,Potato,August,1142.47,1073.47,2022
128,Sugar Beet,September,880.09,872.47,2022
129,Potato,August,193.84,1106.32,2022
130,Wheat,July,265.91,1172.09,2022
131,Carrots,August,669.3,1264.94,2022
132,Wheat,July,1021.39,1291.28,2022
133,Apples,September,963.34,1244.93,2022
134,Tomato (Greenhouse),November,1051.74,1459.73,2022
135,Apples,September,157.88,649.09,2022
136,Apples,October,156.03,1300.22,2022
137,Corn,October,294.27,1236.45,2022
138,Wheat,August,750.86,892.97,2022
139,Cucumber (Greenhouse),November,745.06,830.94,2022
140,Apples,October,775.01,1025.78,2022
141,Cucumber (Greenhouse),November,400.57,621.21,2023
142,Rye,July,1188.4,1073.82,2023
143,Tomato (Greenhouse),February,154.83,984.02,2023
144,Oats,July,1089.42,1359.52,2023
145,Pumpkin,October,1069.53,1085.28,2023
146,Wheat,August,774.76,1078.36,2023
147,Carrots,September,326.96,728.48,2023
148,Rapeseed,July,1076.14,1447.39,2023
149,Rapeseed,June,1105.33,1358.64,2023
150,Tomato (Greenhouse),January,617.27,1353.88,2023
151,Sugar Beet,September,227.31,1063.33,2023
152,Oats,July,452.54,688.89,2023
153,Tomato (Greenhouse),November,186.33,1311.08,2023
154,Carrots,September,195.54,1046.22,2023
155,Apples,October,366.09,634.83,2024
156,Pumpkin,October,233.93,817.06,2024
157,Rapeseed,July,348.12,1146.98,2024
158,Barley,July,533.48,873.97,2024
159,Apples,October,573.75,676.63,2024
160,Tomato (Greenhouse),December,135.07,1122.98,2024
161,Barley,July,127.36,1118.21,2024
162,Cucumber (Greenhouse),March,258.9,1493.88,2024
163,Oats,July,1193.43,836.14,2024
164,Sugar Beet,September,234.63,1095.49,2024
165,Sugar Beet,October,889.4,1457.07,2024
166,Carrots,September,1107.48,1410.04,2024
167,Tomato (Greenhouse),March,381.65,1045.28,2024
